Timestamp,CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Memory usage [%],Disk read throughput [KB/s],Disk write throughput [KB/s],Disk size [GB],Network received throughput [KB/s],Network transmitted throughput [KB/s],cores
04.01.2016 15:55:00,2,0,120,"2,62",4194304,625790,"14,92",0,15,54,11,35,2
04.01.2016 16:00:00,2,0,115,"2,52",4194304,323800,"7,72",0,14,54,1,1,2
04.01.2016 16:05:00,2,0,117,"2,56",4194304,161481,"3,85",0,13,54,24,15,2
04.01.2016 16:10:00,2,0,118,"2,59",4194304,200907,"4,79",0,14,54,32,13,2
04.01.2016 16:15:00,2,0,125,"2,74",4194304,290246,"6,92",0,15,54,11,36,2
04.01.2016 16:20:00,2,0,115,"2,51",4194304,290246,"6,92",0,12,54,1,1,2
04.01.2016 16:25:00,2,0,117,"2,56",4194304,133798,"3,19",0,14,54,1,1,2
04.01.2016 16:30:00,2,0,115,"2,51",4194304,94372,"2,25",0,13,54,1,1,2
04.01.2016 16:35:00,2,0,121,"2,65",4194304,281857,"6,72",0,13,54,11,36,2
04.01.2016 16:40:00,2,0,123,"2,69",4194304,340577,"8,12",0,15,54,6,12,2
04.01.2016 16:45:00,2,0,122,"2,66",4194304,419011,"9,99",0,14,54,11,36,2
04.01.2016 16:50:00,2,0,124,"2,71",4194304,393845,"9,39",0,11,54,1,12,2
04.01.2016 16:55:00,2,0,115,"2,52",4194304,541904,"12,92",0,15,54,1,1,2
04.01.2016 17:00:00,2,0,117,"2,56",4194304,206360,"4,92",0,13,54,1,1,2
04.01.2016 17:05:00,2,0,121,"2,65",4194304,343513,"8,19",0,14,54,11,36,2
04.01.2016 17:10:00,2,0,114,"2,49",4194304,281857,"6,72",0,13,54,1,1,2
04.01.2016 17:15:00,2,0,123,"2,67",4194304,234462,"5,59",0,14,54,11,36,2
04.01.2016 17:20:00,2,0,116,"2,54",4194304,265080,"6,32",0,12,54,1,1,2
04.01.2016 17:25:00,2,0,125,"2,73",4194304,228590,"5,45",0,15,54,11,35,2
04.01.2016 17:30:00,2,0,117,"2,56",4194304,284793,"6,79",0,13,54,1,5,2
04.01.2016 17:35:00,2,0,133,"2,9",4194304,452565,"10,79",0,13,54,20,46,2
04.01.2016 17:40:00,2,0,152,"3,32",4194304,796498,"18,99",0,16,54,21,33,2
04.01.2016 17:45:00,2,0,131,"2,86",4194304,972659,"23,19",0,15,54,14,40,2
04.01.2016 17:50:00,2,0,123,"2,69",4194304,637115,"15,19",0,11,54,1,1,2
04.01.2016 17:55:00,2,0,125,"2,74",4194304,595172,"14,19",0,15,54,11,35,2
04.01.2016 18:00:00,2,0,124,"2,71",4194304,402234,"9,59",0,14,54,3,10,2
04.01.2016 18:05:00,2,0,124,"2,71",4194304,368679,"8,79",0,14,54,12,36,2
04.01.2016 18:10:00,2,0,116,"2,54",4194304,326736,"7,79",0,12,54,5,5,2
04.01.2016 18:15:00,2,0,122,"2,67",4194304,209296,"4,99",0,13,54,11,36,2
04.01.2016 18:20:00,2,0,114,"2,5",4194304,228590,"5,45",0,12,54,1,1,2
04.01.2016 18:25:00,2,0,116,"2,52",4194304,150576,"3,59",0,15,54,1,1,2
04.01.2016 18:30:00,2,0,116,"2,54",4194304,85983,"2,05",0,12,54,1,1,2
04.01.2016 18:35:00,2,0,121,"2,64",4194304,178258,"4,25",0,13,54,11,36,2
04.01.2016 18:40:00,2,0,118,"2,59",4194304,295698,"7,05",0,13,54,1,1,2
04.01.2016 18:45:00,2,0,124,"2,71",4194304,320864,"7,65",0,14,54,11,36,2
04.01.2016 18:50:00,2,0,123,"2,69",4194304,343513,"8,19",0,11,54,1,1,2
04.01.2016 18:55:00,2,0,116,"2,54",4194304,393845,"9,39",0,15,54,1,1,2
04.01.2016 19:00:00,2,0,116,"2,53",4194304,139251,"3,32",0,13,54,1,1,2
04.01.2016 19:05:00,2,0,116,"2,55",4194304,139251,"3,32",0,13,54,1,1,2
04.01.2016 19:10:00,2,0,116,"2,54",4194304,91855,"2,19",0,12,54,1,1,2
04.01.2016 19:15:00,2,0,117,"2,56",4194304,139251,"3,32",0,13,54,1,1,2
04.01.2016 19:20:00,2,0,115,"2,52",4194304,133798,"3,19",0,12,54,1,1,2
04.01.2016 19:25:00,2,0,122,"2,66",4194304,248303,"5,92",0,14,54,11,35,2
04.01.2016 19:30:00,2,0,116,"2,54",4194304,290246,"6,92",0,12,54,1,8,2
04.01.2016 19:35:00,2,0,121,"2,65",4194304,301570,"7,19",0,12,54,11,36,2
04.01.2016 19:40:00,2,0,115,"2,51",4194304,307023,"7,32",0,13,54,1,1,2
04.01.2016 19:45:00,2,0,116,"2,54",4194304,127926,"3,05",0,14,54,1,1,2
04.01.2016 19:50:00,2,0,124,"2,72",4194304,161481,"3,85",0,12,54,1,1,2
04.01.2016 19:55:00,2,0,118,"2,58",4194304,416075,"9,92",0,15,54,1,5,2
04.01.2016 20:00:00,2,0,127,"2,78",4194304,315412,"7,52",0,12,54,195,186,2
04.01.2016 20:05:00,2,0,151,"3,3",4194304,525127,"12,52",0,16,54,298,309,2
04.01.2016 20:10:00,2,0,124,"2,72",4194304,561617,"13,39",0,13,54,201,194,2
04.01.2016 20:15:00,2,0,132,"2,87",4194304,393845,"9,39",0,13,54,213,230,2
04.01.2016 20:20:00,2,0,144,"3,15",4194304,519674,"12,39",0,12,54,214,214,2
04.01.2016 20:25:00,2,0,130,"2,83",4194304,603560,"14,39",0,14,54,193,186,2
04.01.2016 20:30:00,2,0,124,"2,71",4194304,343513,"8,19",0,12,54,199,192,2
04.01.2016 20:35:00,2,0,128,"2,79",4194304,276405,"6,59",0,12,54,209,226,2
04.01.2016 20:40:00,2,0,123,"2,68",4194304,351902,"8,39",0,12,54,202,195,2
04.01.2016 20:45:00,2,0,122,"2,66",4194304,234462,"5,59",0,14,54,121,118,2
04.01.2016 20:50:00,2,0,122,"2,67",4194304,203424,"4,85",0,12,54,1,1,2
04.01.2016 20:55:00,2,0,115,"2,52",4194304,536451,"12,79",0,14,54,1,1,2
04.01.2016 21:00:00,2,0,117,"2,56",4194304,231526,"5,52",0,12,54,1,1,2
04.01.2016 21:05:00,2,0,118,"2,57",4194304,169869,"4,05",0,14,54,1,8,2
04.01.2016 21:10:00,2,0,116,"2,54",4194304,83467,"1,99",0,12,54,1,3,2
04.01.2016 21:15:00,2,0,122,"2,66",4194304,245367,"5,85",0,13,54,11,36,2
04.01.2016 21:20:00,2,0,114,"2,5",4194304,228590,"5,45",0,12,54,1,5,2
04.01.2016 21:25:00,2,0,121,"2,64",4194304,251239,"5,99",0,15,54,11,35,2
04.01.2016 21:30:00,2,0,116,"2,53",4194304,298634,"7,12",0,12,54,1,1,2
04.01.2016 21:35:00,2,0,120,"2,63",4194304,178258,"4,25",0,13,54,11,7,2
04.01.2016 21:40:00,2,0,140,"3,06",4194304,731906,"17,45",0,15,54,13,19,2
